Day,Month,Year,State,Temp_Min,Temp_Max,Rain_mm,Evaporation_mm,Sun_hours,Wind_Direction,Wind_Speed,Time_since_midnight,Temp_9am,RH_9am,Cld_9am,Dir_9am,Spd_9am,MSLP_9am,Temp_3pm,RH_3pm,Cld_3pm,Dir_3pm,Spd_3pm,MSLP_3pm,Temp_Diff,Rain_Indicator,Tomorrow_Rain_Indicator,Tomorrow_Rain_mm
1,8,2023,SA,11.2,15.1,0.8,1.6,4.8,4.0,22.0,189,12.0,94.0,7.0,15.0,9,1031.8,14.3,75.0,0.0,4.0,11.0,1030.0,3.9,1,0,0.0
2,8,2023,SA,5.4,19.6,0.0,1.2,9.4,1.0,35.0,620,10.3,82.0,0.0,9.0,11,1030.0,19.3,45.0,1.0,1.0,24.0,1026.4,14.2,0,0,0.0
3,8,2023,SA,11.1,24.4,0.0,3.4,9.7,1.0,52.0,653,17.0,48.0,1.0,9.0,26,1024.1,23.7,35.0,2.0,1.0,28.0,1019.5,13.3,0,1,3.6
4,8,2023,SA,13.5,15.0,3.6,5.8,5.0,15.0,57.0,111,13.6,85.0,7.0,14.0,20,1025.2,13.6,75.0,7.0,7.0,28.0,1027.7,1.5,1,1,0.2
5,8,2023,SA,5.9,13.4,0.2,2.0,3.6,7.0,30.0,791,10.7,80.0,1.0,6.0,7,1037.1,12.4,71.0,7.0,13.0,19.0,1035.5,7.5,1,0,0.0
6,8,2023,SA,6.7,14.2,0.0,1.6,7.2,14.0,28.0,880,9.6,86.0,6.0,12.0,9,1036.6,12.7,68.0,6.0,7.0,17.0,1033.6,7.499999999999999,0,0,0.0
7,8,2023,SA,3.3,13.4,0.0,1.2,9.8,14.0,26.0,767,10.4,77.0,5.0,0.0,0,1033.6,13.2,71.0,2.0,14.0,17.0,1031.2,10.1,0,0,0.0
8,8,2023,SA,2.4,18.0,0.0,1.4,10.1,9.0,39.0,864,10.3,73.0,0.0,5.0,13,1031.1,16.7,52.0,0.0,16.0,13.0,1026.9,15.6,0,0,0.0
9,8,2023,SA,7.3,21.6,0.0,2.8,9.6,1.0,54.0,644,14.8,44.0,0.0,1.0,28,1022.3,21.0,35.0,1.0,16.0,35.0,1016.2,14.3,0,1,1.4
10,8,2023,SA,11.9,14.9,1.4,4.2,8.1,14.0,31.0,1,13.4,70.0,3.0,7.0,20,1025.7,14.2,66.0,5.0,4.0,13.0,1025.5,3.0,1,0,0.0
11,8,2023,SA,9.1,15.0,0.0,3.0,4.0,9.0,24.0,653,10.7,71.0,7.0,1.0,15,1024.7,13.5,61.0,0.0,4.0,15.0,1021.1,5.9,0,1,4.0
12,8,2023,SA,10.4,14.0,4.0,1.8,0.0,2.0,17.0,308,11.9,90.0,7.0,10.0,9,1018.9,13.8,85.0,8.0,11.0,7.0,1017.1,3.6,1,1,1.6
13,8,2023,SA,10.4,14.9,1.6,1.6,0.0,10.0,24.0,557,12.9,76.0,7.0,3.0,9,1019.4,13.8,77.0,8.0,14.0,7.0,1017.6,4.5,1,0,0.0
14,8,2023,SA,6.2,15.0,0.0,0.8,9.9,4.0,26.0,856,13.6,74.0,1.0,0.0,0,1020.1,14.1,77.0,0.0,14.0,20.0,1019.5,8.8,0,0,0.0
15,8,2023,SA,2.7,17.5,0.0,0.2,10.2,1.0,30.0,789,11.7,64.0,0.0,9.0,13,1024.2,17.1,38.0,1.0,5.0,15.0,1021.2,14.8,0,0,0.0
16,8,2023,SA,7.5,18.8,0.0,2.8,6.5,16.0,37.0,798,15.0,44.0,6.0,5.0,17,1018.6,16.3,56.0,7.0,8.0,13.0,1014.7,11.3,0,1,8.0
17,8,2023,SA,10.4,16.4,8.0,1.8,2.3,14.0,63.0,1086,12.3,96.0,0.0,9.0,13,1010.3,13.0,81.0,8.0,15.0,30.0,1007.4,5.999999999999998,1,1,3.2
18,8,2023,SA,9.6,14.6,3.2,2.4,7.5,14.0,54.0,157,11.6,67.0,0.0,7.0,31,1015.8,14.2,61.0,4.0,14.0,24.0,1018.0,5.0,1,1,0.8
