Year,Month,State,Monthly rainfall,Monthly mean daily global solar exposure,Monthly mean minimum temperature,Monthly mean maximum temperature,Number of arriving visitors
2000,1,VIC,41.2,22.1,13.1,24.9,60170
2000,2,VIC,34.6,23.2,16,29.5,70240
2000,3,VIC,24.6,17.7,13.7,25.5,70440
2000,4,VIC,39.6,12,10.5,21.2,57450
2000,5,VIC,78.4,7.2,8.1,15.8,44090
2000,6,VIC,27.6,5.6,6.5,13.6,44130
2000,7,VIC,35,6.9,5.7,13.3,60560
2000,8,VIC,31,10.4,5.4,14.8,54180
2000,9,VIC,65.2,14,7.7,17.2,47200
2000,10,VIC,124.4,16.4,8.5,17.8,69020
2000,11,VIC,38.2,20.3,13.1,22.9,78130
2000,12,VIC,18.4,27.3,12.2,26.2,89380
2001,1,VIC,7.2,23.2,16.1,29.7,67650
2001,2,VIC,11.4,23.1,16.5,29.2,79620
2001,3,VIC,142.2,17,12.2,24.2,73280
2001,4,VIC,96.8,11.3,9.8,20.2,64350
2001,5,VIC,13.4,7.8,8,16,49100
2001,6,VIC,35.6,6,7.6,14.9,48880
2001,7,VIC,10,6.2,6.1,13.4,74260
2001,8,VIC,43.4,9,6.5,14.6,53730
2001,9,VIC,20.8,13.9,8.1,18.5,53640
2001,10,VIC,51,18.2,8.1,18.7,67080
2001,11,VIC,56.6,18.9,9.4,20.3,66640
2001,12,VIC,50,23.1,10.2,21,91620
2002,1,VIC,33.6,22.4,12.7,25.1,71520
2002,2,VIC,52,20.9,13,24.7,84480
2002,3,VIC,41,16.9,12.6,23.8,82000
2002,4,VIC,41,11,10.9,21.2,59230
2002,5,VIC,18.8,8.3,8.4,17.9,53780
2002,6,VIC,30.6,6.5,6.8,14.8,49000
2002,7,VIC,31.6,8,5.9,14.3,66780
2002,8,VIC,22.6,10.5,5.5,15.2,55000
2002,9,VIC,28,15.5,7.2,18,58250
2002,10,VIC,25.4,18.4,8.4,20.5,71010
2002,11,VIC,18.2,22.4,10.2,23.8,71640
2002,12,VIC,10.2,23.4,12.5,25.2,96260
2003,1,VIC,7.6,26.7,13.6,27.7,70800
2003,2,VIC,17.8,21.6,15.1,26,83700
2003,3,VIC,23,17.5,12.9,23.7,74060
2003,4,VIC,57,12.8,10.3,20.4,51400
2003,5,VIC,13,8.4,8.2,18,40130
2003,6,VIC,36.6,6.1,7.5,14.7,49120
2003,7,VIC,61.2,8,5.7,13.6,63160
2003,8,VIC,50.6,10,5.4,13.7,52890
2003,9,VIC,25.4,14.9,6.1,16.4,57630
2003,10,VIC,69.8,16.2,7.5,16.4,73630
2003,11,VIC,26.8,23.8,10.4,22.8,83350
2003,12,VIC,30.6,24.4,13.5,27.4,104110
2004,1,VIC,24.4,23.8,12.2,24.8,74140
2004,2,VIC,9.8,21.4,13.5,26.4,86430
2004,3,VIC,20.2,18.6,12.2,23.5,83340
2004,4,VIC,49,12.1,10.7,20.9,69800
2004,5,VIC,18.2,8.2,7.8,16.3,55640
2004,6,VIC,24.2,6.6,7.1,13.9,59830
2004,7,VIC,27.8,7.2,5.7,12.9,77410
2004,8,VIC,69.4,10.7,6.4,15.2,61030
2004,9,VIC,47.8,12.1,7.7,15.9,60610
2004,10,VIC,45.2,19.2,8.9,20.2,77520
2004,11,VIC,113,20.7,10.8,21.4,88740
2004,12,VIC,59.2,24,12,23.9,108300
2005,1,VIC,24,24.5,13.9,26.7,83440
2005,2,VIC,200.6,19.3,12.6,23.3,99010
2005,3,VIC,7.8,18.1,11.3,23.1,94600
2005,4,VIC,26,13.4,11.6,23.4,69920
2005,5,VIC,8,9.4,8.2,17.8,58870
2005,6,VIC,31,6.3,6.7,15.4,58530
2005,7,VIC,21.8,6.5,6.5,14.1,78380
2005,8,VIC,57.6,10.4,6.7,14.9,66630
2005,9,VIC,39.4,13.8,7.2,17,61210
2005,10,VIC,69,19.3,9.7,20.5,82660
2005,11,VIC,64.6,22.9,11.6,23.7,89110
2005,12,VIC,48,24,12,27.5,113550
2006,1,VIC,50.6,26.1,15.3,27.9,89970
2006,2,VIC,58.8,23.2,13.7,25.2,94720
2006,3,VIC,13.2,19.2,13.3,26,94890
2006,4,VIC,43.2,11,8.7,18.6,76970
2006,5,VIC,40.4,7.2,7.3,15.2,59980
2006,6,VIC,10.4,6,4.5,13,61530
2006,7,VIC,39.4,6.3,5.8,13.1,75910
2006,8,VIC,27.2,10.8,5.8,15.8,65270
2006,9,VIC,38.4,14.9,7.1,18.6,69370
2006,10,VIC,8.4,23.2,7.3,21.5,81860
2006,11,VIC,39,23.6,9.7,22.8,89920
2006,12,VIC,15.8,26.6,11.5,25.2,128030
2007,1,VIC,24.2,24.4,15.2,28.3,86480
2007,2,VIC,13,22.7,16.4,29.6,101570
2007,3,VIC,39.4,17.9,13.2,25.5,102970
2007,4,VIC,29.2,12.9,10.4,22.2,77330
2007,5,VIC,41,8.1,10.9,18.7,66720
2007,6,VIC,45.4,6.3,5.4,12.6,70080
2007,7,VIC,41.2,7.1,5.5,12.5,78660
2007,8,VIC,17.6,11.1,6.4,16,70250
2007,9,VIC,8.2,14.6,6.8,18,66300
2007,10,VIC,5.6,19.5,8.9,21.2,82560
2007,11,VIC,74.6,23.3,12.3,24.2,93610
2007,12,VIC,83.2,24.4,13.7,26.3,116900
2008,1,VIC,38.8,25.8,15.5,27.7,85100
2008,2,VIC,31.2,20.9,13.3,24.1,107130
2008,3,VIC,23.2,17.8,12.9,27.1,102600
2008,4,VIC,9.8,11.9,9.2,20.5,81270
2008,5,VIC,36.2,7.3,7.7,16.2,69490
2008,6,VIC,12.6,5.6,8.1,14.7,66120
2008,7,VIC,38.2,6.8,5.1,12.9,90180
2008,8,VIC,46,9,5.2,13.4,67240
2008,9,VIC,16.8,15.5,7,18.4,67740
2008,10,VIC,11.4,18.4,9.1,21.7,80090
2008,11,VIC,46.8,20.6,10.5,22.8,93140
2008,12,VIC,94.6,23.5,11.1,23,124840
2009,1,VIC,1.6,29.6,13.4,28.8,90440
2009,2,VIC,6,22.6,14.3,27.9,105170
2009,3,VIC,35.8,14.7,12.9,24.2,102640
2009,4,VIC,33.4,11.4,9.9,20.3,88290
2009,5,VIC,11.2,7.5,7.6,17,70830
2009,6,VIC,19.4,5.9,6.1,14.3,66130
2009,7,VIC,25.2,7.3,5.8,13.9,82930
2009,8,VIC,35.6,9.9,7.4,15.8,71940
2009,9,VIC,55,13,7.8,17.9,76720
2009,10,VIC,20.2,17.5,8,19.4,90440
2009,11,VIC,117,23.3,13.8,26.8,96670
2009,12,VIC,37.4,25.9,12.7,25.1,139620
2010,1,VIC,26.8,26.2,13.9,27,93510
2010,2,VIC,36.6,20.5,15.9,27.8,122730
2010,3,VIC,88,16.2,14.4,25,112440
2010,4,VIC,18,10.6,12.4,22.1,85570
2010,5,VIC,31.4,8,7.9,17.3,75900
2010,6,VIC,47,6.2,6,13.4,79790
2010,7,VIC,27.4,6.3,5.3,13.3,99920
2010,8,VIC,64.8,8.9,5.5,13.4,86850
2010,9,VIC,42,11.9,6.8,15.1,93410
2010,10,VIC,131.2,18.3,8.4,19.4,103230
2010,11,VIC,130,20.1,11.1,22,113810
2010,12,VIC,84.2,22.3,11.9,24.1,152220
2011,1,VIC,97.2,21.8,15,26.2,107630
2011,2,VIC,87.4,18.2,14.3,24.2,132050
